LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
149992,BELLINGHAM,WA,98225,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,5-1-2020,"JPMorgan Chase Bank, National Association",WA-02
149700,SEATTLE,WA,98104,541511,Corporation,Unanswered,Unanswered,Unanswered,,12,4-11-2020,KeyBank National Association,WA-07
149700,LONGVIEW,WA,98632,811212,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4-11-2020,KeyBank National Association,WA-03
149700,VANCOUVER,WA,98660,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,4-11-2020,KeyBank National Association,WA-03
149690,YAKIMA,WA,98907,512131,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,4-12-2020,KeyBank National Association,WA-04
149554,EDMONDS,WA,98026,541320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-07
149500,TACOMA,WA,98405,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,4-10-2020,KeyBank National Association,WA-06
149500,KENNEWICK,WA,99336,442110,Corporation,White,Female Owned,Non-Veteran,,6,04/13/2020,KeyBank National Association,WA-04
149332,SPOKANE,WA,99201,541940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5-1-2020,"JPMorgan Chase Bank, National Association",WA-05
149332,BELLEVUE,WA,98008,523910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-09
149310,PULLMAN,WA,99163,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5-2-2020,"Wells Fargo Bank, National Association",WA-05
149188,AUBURN,WA,98002,452319,Corporation,Unanswered,Unanswered,Unanswered,,0,5-1-2020,"Wells Fargo Bank, National Association",WA-08
149129,ARLINGTON,WA,98223,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-02
149000,VANCOUVER,WA,98682,339112,Corporation,Unanswered,Male Owned,Veteran,,9,04/14/2020,KeyBank National Association,WA-03
148973,OLYMPIA,WA,98501,445110,Corporation,Unanswered,Unanswered,Unanswered,,24,04/14/2020,KeyBank National Association,WA-10
148770,KENT,WA,98031,484210,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,21,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
148700,Port Orchard,WA,98380,621340,Corporation,Unanswered,Unanswered,Unanswered,,12,04/29/2020,KeyBank National Association,WA-06
148672,MESA,WA,99343,111940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4-11-2020,KeyBank National Association,WA-04
148500,SEATTLE,WA,98155,561730,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/28/2020,KeyBank National Association,WA-07
148400,BELLINGHAM,WA,98225,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,4-10-2020,KeyBank National Association,WA-02
148247,VANCOUVER,WA,98662,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
148225,KENT,WA,98032,517312,Corporation,Unanswered,Male Owned,Veteran,,12,04/16/2020,"JPMorgan Chase Bank, National Association",WA-09
148181,BRUSH PRAIRIE,WA,98606,562910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/14/2020,KeyBank National Association,WA-03
148177,WOODINVILLE,WA,98072,424820,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,5-1-2020,"JPMorgan Chase Bank, National Association",WA-01
148141,VANCOUVER,WA,98660,523930,Corporation,Unanswered,Female Owned,Non-Veteran,,0,04/30/2020,"Wells Fargo Bank, National Association",WA-03
148140,MOSES LAKE,WA,98837,314910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,04/15/2020,KeyBank National Association,WA-04
148125,BELLEVUE,WA,98005,561720,Corporation,Unanswered,Unanswered,Unanswered,,45,5-1-2020,"JPMorgan Chase Bank, National Association",WA-09
148000,PACIFIC,WA,98047,811310,Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-08
147660,SAMMAMISH,WA,98075,518210,Corporation,Unanswered,Unanswered,Unanswered,,12,04/16/2020,"JPMorgan Chase Bank, National Association",WA-08
147588,VANCOUVER,WA,98663,238220,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,5-3-2020,"Wells Fargo Bank, National Association",WA-03
147542,VANCOUVER,WA,98682,541611,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,11,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
147522,ISSAQUAH,WA,98027,442110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,5-3-2020,"Wells Fargo Bank, National Association",WA-08
147500,AUBURN,WA,98092,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,06/26/2020,"JPMorgan Chase Bank, National Association",WA-08
147390,VANCOUVER,WA,98686,811219,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,5-1-2020,"JPMorgan Chase Bank, National Association",WA-03
147330,AIRWAY HEIGHTS,WA,99001,424460,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/16/2020,"JPMorgan Chase Bank, National Association",WA-05
147200,SEATTLE,WA,98199,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,KeyBank National Association,WA-07
147000,SEATTLE,WA,98105,621310,Corporation,Unanswered,Unanswered,Unanswered,,9,4-11-2020,KeyBank National Association,WA-07
146815,TACOMA,WA,98409,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,5-1-2020,"JPMorgan Chase Bank, National Association",WA-06
146800,POULSBO,WA,98370,722511,Limited  Liability Company(LLC),White,Male Owned,Veteran,,25,04/13/2020,KeyBank National Association,WA-06
146700,TACOMA,WA,98409,811121,Corporation,Unanswered,Unanswered,Unanswered,,0,4-11-2020,KeyBank National Association,WA-06
